Player,height,weight,college,Year,Pos,Age,G,MP,PER,TS%,USG%,WS,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Curly Armstrong,180.0,77.0,Indiana University,1950.5,G-F,31.5,50.5,,,0.3695049504950495,,2.408910891089109,,,0.29066336633663364,,0.29066336633663364,0.29066336633663364,0.6820495049504951,,138.75247524752476,,,,361.6831683168317
Cliff Barker,188.0,83.0,University of Kentucky,1951.0,SG,30.0,49.666666666666664,494.0,,0.36536241610738257,,0.6778523489932887,,,0.30504697986577184,,0.30504697986577184,0.30504697986577184,0.6503892617449665,,99.73825503355705,,,,186.08724832214764
Leo Barnhorst,193.0,86.0,University of Notre Dame,1952.0,SF,27.0,68.8,2426.3333333333335,,0.39556686046511635,,,,,0.36203488372093023,,0.36203488372093023,0.36203488372093023,0.6769215116279069,,223.75872093023256,,,,646.6366279069767
Ed Bartels,196.0,88.0,North Carolina State University,1950.25,F,24.25,11.75,,,0.3118085106382979,,-0.5382978723404256,,,0.25248936170212766,,0.25248936170212766,0.25248936170212766,0.5471702127659576,,16.25531914893617,,,,62.638297872340424
Ralph Beard,178.0,79.0,University of Kentucky,1950.5,G,22.5,63.0,,,0.4288095238095238,,5.690476190476191,,,0.3656190476190476,,0.3656190476190476,0.3656190476190476,0.7688095238095238,,277.5238095238095,,,,1008.1428571428571
Gene Berce,180.0,79.0,Marquette University,1950.0,G-F,23.0,3.0,,,0.275,,-0.1,,,0.313,,0.313,0.313,0.0,,2.0,,,,10.0
Charlie Black,196.0,90.0,University of Kansas,1950.5,F-C,28.5,35.75,117.0,,0.3357902097902098,,1.8776223776223777,,,0.2703986013986014,,0.2703986013986014,0.2703986013986014,0.6324475524475525,,111.63636363636364,,,,454.74825174825173
Nelson Bobb,183.0,77.0,Temple University,1951.5,PG,26.5,56.75,1239.0,,0.4106563876651982,,1.5211453744493393,,,0.346590308370044,,0.346590308370044,0.346590308370044,0.6062070484581497,,123.10132158590308,,,,265.55506607929516
Jake Bornheimer,196.0,90.0,Muhlenberg College,1950.0,F-C,22.0,60.0,,,0.356,,0.8,,,0.289,,0.289,0.289,0.667,,40.0,,,,254.0
Vince Boryla,196.0,95.0,University of Denver,1952.0,SF,24.0,57.0,1720.6666666666667,,0.4340631578947368,,3.481754385964912,,,0.36788070175438603,,0.36788070175438603,0.36788070175438603,0.8228140350877193,,127.56842105263158,,,,660.2736842105263
